0 fmn_wifi_001 | 542_full_moon_night.yaml | playful | 信号差,wifi慢,网卡,没信号,4g掉
1 fb_zhongqiu_001 | 068_festival_birthday.yaml | playful | 中秋,月饼,团圆,团圆夜,赏月
2 scr_acne_008 | 619_skincare_routine.yaml | complaint | 长痘,痘痘,闭口,粉刺,痘印
3 ss_praised_002 | 196_sudden_surprise.yaml | playful | 被夸了,被表扬,老板夸我,同事夸,朋友夸
4 em_zaoan_009 | 417_early_morning_greet.yaml | question | 刷牙了吗,洗脸了吗,洗漱,化妆,准备出门
5 mg_qichuangqi_001 | 441_morning_grumpy.yaml | complaint | 起床气,起来不爽,早上脾气坏,起床气炸,起床烦
6 swc_sunbathe_004 | 580_sunbathe_window_chat.yaml | complaint | 背后烫,起不来,太晒,刺眼,热
7 scc_metro_006 | 668_subway_commute_chat.yaml | complaint | 走错,坐错车,反方向,下错站,迷路
8 em_morning_mood_010 | 186_early_morning.yaml | playful | 起床气,早起难,起来累,不想动,早晨困
9 rc_in_the_middle_of_nothing_008 | 179_random_chat.yaml | playful | 无所事事,空闲,没事干,闲得发慌,闲
10 me_grateful_001 | 142_micro_emotion.yaml | playful | 感恩,感谢,谢谢笨猫,感激,心存感激
11 wdc_wifi_002 | 574_wifi_died_chat.yaml | playful | 蹭网,换4g,重置,好了,流量顶
12 mpt_xingxing_002 | 036_moon_pretty.yaml | playful | 星星,星空,星亮,看星星,数星
13 bd_nobody_remember_001 | YY8_birthday_disappointment.yaml | 没人记得 | 没人记得,都忘了,没人祝我,没人说生日快乐,全忘光了
14 sc_lost_item_001 | 132_small_complaints.yaml | complaint | 东西丢了,找不到,丢失,怎么找不到,不见了
15 dwr_chayinliao_004 | 015_drink_water_remind.yaml | question | 喝奶茶,奶茶,咖啡,饮料,喝啥
16 ws_quitting_thoughts_001 | 140_work_slack.yaml | playful | 想辞职,不想干了,跑路,辞职去,离职
17 lip_pn_007 | 768_lost_item_panic.yaml | question | 东西在哪,你看见吗,帮我找,一起找,不见了
18 emr_hehe_001 | 488_emoji_reactions.yaml | playful | 嘿嘿,嘻嘻,哈哈,笑死,笑死我了
19 rs_dailaolaiii_001 | 144_random_silly.yaml | playful | 神经病,抽风,沙雕,离谱,离大谱
20 ros_rewatch_001 | 569_rewatch_old_show.yaml | playful | 二刷,老剧,重温,百看不厌,经典
21 awr_imagining_worst_006 | 830_anxious_waiting_reply.yaml | complaint | 想多了,是不是讨厌我,不喜欢我了,是不是惹生气,想东想西
22 wdn_laying_down_001 | 519_what_doing_now.yaml | playful | 躺着,摆烂,床上躺,沙发瘫,横躺
23 esw_elevator_006 | 570_elevator_stuck_wait.yaml | playful | 电梯门关,抢电梯,按楼层,上下错,急死
