Total routes: 220
0 mfw_zaoananjing_001 complaint 351_morning_first_word.yaml
1 se_pick_up_002 playful 204_street_encounter.yaml
2 ad_xiawu_003 question 420_afternoon_drowsy.yaml
3 mb_kafeijinhuan_001 question 802_monday_blues_dread.yaml
4 str_backsore_001 complaint 952_stretch_lazy_arm.yaml
5 fdc_late_night_eat_006 playful 350_fish_dry_crave.yaml
6 dln_nightmare_001 complaint 119_dream_last_night.yaml
7 flb_hug_001 playful 489_flirt_back.yaml
8 mwu_morning_001 playful 074_morning_wake_up.yaml
9 tso_grab_tail_001 complaint 544_tail_stepped_owie.yaml
10 mr_yueliang_002 playful 408_moon_round.yaml
11 mdc_goodnight_010 playful 321_midnight_chat.yaml
12 mfw_zaohao_001 playful 714_morning_first_word.yaml
13 mw_anothermorning_001 complaint 120_morning_wakeup.yaml
14 sh_xiaoxing_009 playful 416_small_happy.yaml
15 esw_elevator_010 playful 570_elevator_stuck_wait.yaml
16 tst_ts_004 playful 761_tail_swing_tease.yaml
17 sac_yiqishui_001 playful 355_still_awake_check.yaml
18 cg_cheer_up_001 playful T6_caring_greeting.yaml
19 wdc_wifi_010 playful 574_wifi_died_chat.yaml
20 cld_rest_001 complaint 934_cold_caught_sick.yaml
21 noon_lunch_001 playful 452_noon_lunch_break.yaml
22 wwr_pikemai_010 playful 016_wear_warm_remind.yaml
23 sp_jealous_010 playful 189_seek_praise.yaml
24 hhg_xinkou_006 playful 019_hehe_giggle.yaml
25 ay_xiaoshi_001 playful 257_ate_yet.yaml
26 dn_silent_004 playful 453_deep_night_silent.yaml
27 cc_cc_shoudao_006 playful 223_clingy_companion.yaml
28 ng_moon_001 playful 121_night_goodnight.yaml
29 pl_call_police_001 complaint CCC5_pet_lost.yaml
30 nip_no_inspiration_001 complaint UU6_no_inspiration_photo.yaml
31 ld_take_a_bath_008 playful 178_lazy_day_off.yaml
32 hbr_buxiang_001 complaint 364_hug_beg_request.yaml
33 cs_shouleng_001 complaint 897_cold_shiver_winter.yaml
34 dwr_how_much_007 question 327_drink_water_remind.yaml
35 wa_xingxing_008 playful 286_wanan_night_greeting.yaml
36 bda_blush_004 playful 474_blush_dodge_anti_flirt.yaml
