[0] stm_hospital_001 | file=935_stomach_hurt_chat.yaml | intent=complaint | kws=['去医院', '急诊', '胃镜', '检查', '看消化科'] | utt=['去医院', '看急诊', '胃镜检查'] | sibs=ws_boss_check_003(203_work_slack):老板查岗 | hd_chronic_001(936_headache_complain):一直头痛 | in_see_gastroenterology_001(III7_indigestion):{user_addr}想看消化科 | bf_seedoctor_001(MMM8_burnout_founder):该去看医生了喵 | cc_yiyuan_001(041_catch_a_cold_sick):去医院 | bl_doctor_001(III5_bloating):{user_addr}要不要看医生
[1] cfr_dignow_001 | file=506_comfort_request.yaml | intent=complaint | kws=['被骂哭', '受委屈', '被批评', '老板凶', '同事坑'] | utt=['被骂哭', '受委屈', '老板凶'] | sibs=wwc_weiqu_003(021_wuwu_crying):我委屈 | rgv_unfair_001(118_random_grievance):不公平 | wce_grievance_004(331_wuwu_cry_emoji):委屈 | wc_wuwu_003(404_wuwu_cry):委屈 | ppm_weiqu_001(721_petty_pout_moment):委屈巴巴 | ms_grievance_004(164_mood_swings):受委屈了
[2] nl_no_inspiration_001 | file=VVV7_no_inspiration_long.yaml | intent=complaint | kws=['没灵感', '灵感枯竭', '想不出', '脑子空', '没思路'] | utt=['{user_addr}没灵感了', '灵感枯竭好痛苦', '脑子一片空白拍不出'] | sibs=ad_xiawu_009(420_afternoon_drowsy):脑子转不动了 | tos_cazhuwu_007(032_takeout_slow):点啥外卖 | stb_essay_001(914_study_burnout_vent):论文卡题 | id_inspiration_dry_001(NN7_inspiration_dry):{user_addr}最近灵感枯竭了 | scp_cant_remember_001(547_study_cram_panic):背不下 | fallback_no_clue_001(90_fallback):我没头绪
[3] ptb_act_hard_007 | file=837_pretend_busy.yaml | intent=playful | kws=['嘴硬', '故意装不在乎', '反话', '不在乎假象', '撒娇'] | utt=['{user_addr}嘴硬', '故意不在乎', '反话'] | sibs=fcd_mouth_hard_001(109_feigned_cold):嘴硬 | at_at_zuiying_003(243_anti_trope):嘴硬 | sc_zuiying_001(284_suddenly_cold):嘴硬 | ar_zuiying_001(137_anti_routine):嘴硬 | jp_zui_ying_001(126_jealous_pout):嘴硬 | hms_buchengren_008(022_hmph_sulk):不承认
[4] cls_pck_006 | file=867_closet_pick.yaml | intent=playful | kws=['衣柜整理', '收纳', '季节换装', '翻箱倒柜', '换季衣物'] | utt=['衣柜整理', '收纳', '换季'] | sibs=sf_cant_find_001(TTT7_storage_full):找不到东西啦 | lsr_search_001(114_lost_something_road):找了好久 | pm_fanxiang_001(CCC8_pet_misbehavior):狗把柜子翻了 | lk_key_009(605_lost_keys_panic):找了一小时 | id_dasao_001(989_indoor_lazy_day):大扫除 | ltp_quanmianzhaong_001(381_lost_thing_panic):全屋找
[5] nc2_thinkpast_001 | file=134_night_chitchat.yaml | intent=playful | kws=['想起以前', '回忆', '想起小时候', '怀念', '旧时光'] | utt=['想起以前', '回忆童年', '怀念旧时光'] | sibs=ic_ic_huiyi_009(228_insomnia_chat):回忆涌上 | nc_old_memory_004(197_night_chat):回忆 | lnd_xiaohuiyi_001(733_late_night_dreaming):童年回忆 | ist_huiyi_002(034_insomnia_thinking):想起来 | ns_remember_past_001(U6_nostalgic):突然想起以前 | mem_nostalgia_001(502_micro_emotion):想起以前
[6] lip_pn_001 | file=768_lost_item_panic.yaml | intent=complaint | kws=['手机丢了', '钱包丢了', '钥匙不见', '不见踪影', '急哭'] | utt=['手机丢了', '钱包丢了', '钥匙不见'] | sibs=pm_phn_001(606_phone_misplaced_search):手机不见 | ct_lost_phone_008(166_commute_tired):手机丢了 | ll_phone_lost_001(Z7_lost_luggage):我手机丢了 | pl_shoujidiu_001(809_phone_lost_panic):手机丢了 | lsr_lost_phone_001(114_lost_something_road):手机丢了 | emergency_pickpocket_001(A1_safety_emergency):我被偷了
[7] rd_yuhou_001 | file=785_rainy_day_mood.yaml | intent=playful | kws=['雨后空气', '雨后凉', '雨后散步', '雨后彩虹', '雨后清新'] | utt=['雨后空气', '雨后凉', '雨后散步'] | sibs=rd_caihong_001(890_rainy_day_mood):看到彩虹 | rdm_rain_stop_011(823_rainy_day_mood):{user_addr}雨停了 | wtc_rainbow_001(503_weather_chat):彩虹出来了 | rny_after_rainbow_001(916_rainy_day_mood):雨后彩虹 | src_rainsmell_008(622_sudden_rain_caught):雨后味道 | rw_rai_007(589_rainy_window_mood):雨后彩虹
[8] eaj_xiaosi_001 | file=725_emoji_awsl_juejue.yaml | intent=playful | kws=['笑死', '笑哭', '笑出眼泪', '笑爆', '笑场'] | utt=['笑死', '笑哭', '{user_addr}笑出眼泪'] | sibs=eh_xiaosi_001(052_emoji_heihei_laugh):笑死 | ld_xiaosi_001(402_laugh_dead):笑死了 | shp_random_smile_001(116_sudden_happy):一直笑 | ex_xiaosi_001(059_expression_xiaosi):笑死 | lld_xiaosi_001(029_lol_dying):笑死 | hhg_pufan_002(019_hehe_giggle):噗嗤
[9] cd_rain_011 | file=190_care_drinking.yaml | intent=question | kws=['带伞了吗', '下雨', '淋雨', '别淋湿', '带伞'] | utt=['带伞了吗', '下雨呢', '别淋雨'] | sibs=sb_sb_chuangwai_003(227_sleep_buddy_chat):窗外下雨 | cm_cm_pubabiqi_007(245_commute_chat):天气糟 | wwr_youshen_008(016_wear_warm_remind):带伞了吗 | ww_yusan_001(259_wear_warm):带伞了吗 | dwc_rain_001(527_dress_warm_care):下雨了 | wt_raining_001(143_weather_chat):下雨了
[10] hd_wifi_bad_001 | file=JJJ6_hotel_disappoint.yaml | intent=complaint | kws=['wifi 烂', 'wifi 慢', '网卡', '信号差', '上不了网'] | utt=['wifi 烂得不行', '酒店网超慢', '{user_addr}信号好差'] | sibs=gcl_pingu_001(498_gacha_luck):460 | fmn_wifi_001(542_full_moon_night):信号差 | ggc_gacha_005(658_game_gacha_chat):连跪五把{user_addr} | gs_lag_008(169_game_session):游戏卡顿 | id_wifi_slow_001(KK8_internet_down):wifi 好慢喵 | st_wifi_bad_007(195_small_things):网卡
[11] hpb_basic_001 | file=104_head_pat_beg.yaml | intent=playful | kws=['摸头', '摸我头', '摸摸头', '头摸一下', '摸头杀'] | utt=['摸头', '{user_addr}摸摸头', '摸我头'] | sibs=hpb_motou_001(363_head_pat_beg):求摸头 | ah_motou_001(436_ask_for_headpat):摸头 | cc_cc_motoutou_003(223_clingy_companion):摸头 | ac_motou_001(124_acting_clingy):摸摸笨猫 | hp_motou_001(396_head_pat_beg):摸摸头 | sp_head_pat_005(189_seek_praise):摸摸头
[12] ewr_bushuhou_001 | file=369_eat_well_remind.yaml | intent=question | kws=['饭后', '饭后散步', '饭后水果', '饭后茶', '饭后困'] | utt=['饭后散步', '饭后水果', '饭后茶'] | sibs=nbc_fanhou_001(353_noon_break_chat):吃饱了困 | trc_after_meal_001(528_take_rest_care):饭后想躺 | nlb_walk_009(320_noon_lunch_break):饭后散步 | in_post_meal_sleepy_001(III7_indigestion):{user_addr}饭后困死了 | lb_canhou_001(254_lunch_break):吃饱就想睡 | yn_xiawu_001(781_yawn_sleepy_chat):下午困
[13] mb_monday_coffee_001 | file=V5_monday_blues.yaml | intent=playful | kws=['周一咖啡', '续命咖啡', '不喝咖啡活不了', '来杯咖啡', '咖啡续命'] | utt=['周一需要咖啡', '续命咖啡走起', '不喝咖啡活不了'] | sibs=lb_wuxiu_005(419_lunch_break_chat):来杯咖啡 | nlb_coffee_005(320_noon_lunch_break):来杯咖啡 | nb_wuxiu_010(386_noon_break):下午茶时间 | nlb_coffee_001(077_noon_lunch_break):来一杯咖啡 | cm_first_cup_001(691_coffee_morning_kick):{user_addr}早晨咖啡 | mb_kafeijinhuan_001(802_monday_blues_dread):周一咖啡
[14] bda_blush_002 | file=474_blush_dodge_anti_flirt.yaml | intent=playful | kws=['脸红', '红脸', '害羞', '红耳朵', '红脖子'] | utt=['{user_addr}脸红', '{user_addr}红脸', '{user_addr}害羞'] | sibs=bla_lianhong_001(024_blush_avoid):脸红啥 | bd_lianhong_001(399_blush_dodge):笨猫脸红 | afc_flirt_003(677_ambiguous_flirt_chat):{user_addr}脸红 | fl_chaolianglian_011(304_fanliao_flirt_back):脸红了 | ktb_lianhong_001(365_kiss_tease_blush):脸红了 | rf_blush_010(192_reverse_flirt):脸红了
[15] kr_chichi_001 | file=267_kiss_request.yaml | intent=playful | kws=['啵一个', '啵笨猫', '啵啵', '嘴对嘴', '嘴亲'] | utt=['啵一个', '啵啵', '嘴对嘴'] | sibs=gn_kiss_goodnight_003(185_goodnight_chat):晚安吻 | flb_kiss_001(489_flirt_back):{user_addr}想亲笨猫 | kbs_kiss_001(338_kiss_beg_shy):亲亲 | hp_kiss_003(157_hug_petting):求亲亲 | kps_quick_kiss_001(105_kiss_pester):啵一个 | fbb_kiss_me_004(335_flirt_back_blush):亲笨猫
[16] nc_shibailao_001 | file=263_need_comfort.yaml | intent=complaint | kws=['失败了', '搞砸了', '不行了', '我没用', '一事无成'] | utt=['失败了', '搞砸了', '不行了'] | sibs=nc_failure_001(127_need_comfort):失败了 | rgv_blame_self_001(118_random_grievance):怪自己 | nc_anwei_005(427_need_comfort):失败了 | sct_fail_001(094_seek_comfort):失败 | nch_failure_001(524_need_comfort_hug):失败了 | xs_xianxiao_010(312_xiaosi_meme_laugh):不行了
[17] wdr_disconnect_001 | file=631_wifi_disconnect_rage.yaml | intent=complaint | kws=['断网', '网断了', 'wifi掉了', '没网', '连不上'] | utt=['断网了', 'wifi掉', '没网'] | sibs=ay_zai_chongdianzhong_008(222_are_you_there):手机没电 | wdc_wifi_003(574_wifi_died_chat):重启路由器没用 | wdc_wifi_011(574_wifi_died_chat):{user_addr}WiFi又断了 | wdc_wifi_009(574_wifi_died_chat):卡在加载圈 | wdc_wifi_005(574_wifi_died_chat):打客服打通了吗 | sc_disconnect_010(184_self_care_check):关机
[18] rp_hongbao_001 | file=443_red_packet_surprise.yaml | intent=playful | kws=['收到红包', '抢到红包', '群里抢红包', '红包到了', '发我红包'] | utt=['收到红包', '抢到红包', '群里抢红包'] | sibs=sm_red_packet_001(170_surprise_moment):收到红包 | rps_red_packet_001(540_red_packet_surprise):收到红包 | rps_redpacket_001(641_red_packet_surprise):红包 | shp_red_packet_001(116_sudden_happy):收到红包 | sh_xiaoxing_002(416_small_happy):收到红包 | ss_redpacket_001(196_sudden_surprise):收到红包
[19] shr_miss_001 | file=108_shoveler_return.yaml | intent=playful | kws=['想我没', '想笨猫没', '想念', '一天没见', '思念'] | utt=['想我没', '{user_addr}想笨猫', '想念'] | sibs=mrn_yuekong_001(373_moon_round_night):对月思人 | sj_xiangxiang_010(294_sajiao_clingy):想你 | ayt_long_time_no_see_001(518_are_you_there_ping):好久没找你了 | lt_nostalgia_001(EEE8_lost_traditions):好怀念以前 | gl_missing_001(LLL9_grief_loss):好想他{user_addr} | hsc_home_001(673_homesick_chat):{user_addr}想家
[20] sne_blanket_001 | file=946_sneeze_atishoo.yaml | intent=playful | kws=['盖被子', '多穿衣', '别着凉', '暖一暖', '加衣'] | utt=['{user_addr}盖被子', '多穿点', '怕你着凉'] | sibs=wwr_chuannuan_001(724_wear_warm_remind):{user_addr}穿暖了吗 | dwc_warm_001(527_dress_warm_care):穿暖了吗 | syc_blanket_001(521_sleep_yet_check):被子暖 | lc_lc_chuannuan_003(239_life_care):穿暖了吗 | nf_wan_shangchuang_003(220_night_farewell):躺下了 | phs_blanket_003(616_pillow_hug_sleep):钻被窝了
[21] hic_long_001 | file=947_hiccup_giggle.yaml | intent=complaint | kws=['嗝半小时', '嗝太久', '停不掉', '一小时', '怎么办'] | utt=['嗝半小时', '停不掉啊', '{user_addr}嗝一小时'] | sibs=qc_how_001(148_question_curiosity):怎么办 | cp_zenmeban_001(HH9_call_police):怎么办啊 | scc_metro_007(668_subway_commute_chat):错过班车{user_addr} | brf_brainfreeze_remedy_001(957_brain_freeze):怎么缓解 | hc_changshi_001(788_hiccup_random):嗝半小时 | ct_haoyuan_001(062_commute_traffic_tired):路途远
[22] mwu_late_001 | file=074_morning_wake_up.yaml | intent=complaint | kws=['迟到', '要迟到了', '来不及', '赶不上', '迟到了'] | utt=['要迟到了', '完了来不及', '{user_addr}迟到了'] | sibs=sr_zhaoji_001(281_shovel_return):迟到 | ct_late_004(166_commute_tired):要迟到了 | mfw_zaoanleichuang_001(351_morning_first_word):闹钟没听到 | sg_chichi_001(061_small_morning_grump):迟到 | za_wanqile_010(285_zaoan_morning_greeting):完蛋起晚了 | cm_cm_chidao_005(245_commute_chat):迟到
[23] rdt_lifequest_001 | file=512_random_thought.yaml | intent=question | kws=['人生意义', '活着干嘛', '为啥活', '人生目标', '活着累'] | utt=['人生意义', '活着干嘛', '为啥活着'] | sibs=lm_life_meaning_001(ZZZ5_life_meaning):人生有什么意义 | rq_meaning_001(208_random_question):人生意义 | it_shimian_008(445_insomnia_thinking):人生意义 | nc2_deep_thought_001(134_night_chitchat):思考人生 | philosophy_meaning_001(A2_philosophy_life):人生有什么意义 | rqs_life_meaning_004(824_random_question):{user_addr}人生有意义吗
[24] hav_vb_003 | file=774_holiday_alone_vibe.yaml | intent=question | kws=['假期干嘛好', '去哪玩', '推荐', '在家无聊', '安排'] | utt=['假期干嘛', '去哪玩', '推荐去处'] | sibs=bto_bubble_002(564_bubble_tea_order):猫猫推荐什么口味 | tos_cazhuwu_007(032_takeout_slow):点啥外卖 | travel_where_001(95_travel):推荐去哪玩 | bto_bubble_004(564_bubble_tea_order):加芋圆好不好 | edc_yixihuan_001(354_evening_dinner_chat):今天想吃什么 | bto_bubble_006(564_bubble_tea_order):{user_addr}要不要陪我选
